ID,sequence,result,type_ID,status_code,task_ID,createdAt,createdBy,modifiedAt,modifiedBy
ef941e16-5a0d-4856-a8da-ff3585356447,1,,ff5c1b57-1646-4580-b58d-db3fd36fcb24,CREATED,98eb493f-02fa-42cd-9f7d-1741c4575aec,,,,
b631b9de-24ba-439c-afb3-f6a8002ddc9c,2,,ac32a636-065a-4bba-9932-7c4aaa769076,CREATED,98eb493f-02fa-42cd-9f7d-1741c4575aec,,,,
19ed1a3d-2054-4345-bc73-42502aedc648,3,,380546ee-cd3b-4ec5-806a-3af899dbbfc3,CREATED,98eb493f-02fa-42cd-9f7d-1741c4575aec,,,,
48939434-122b-48d4-98ed-b0565d16329c,4,,13650c32-a4e9-40c5-a38e-e30279d65bac,CREATED,98eb493f-02fa-42cd-9f7d-1741c4575aec,,,,
d9f1a78f-562d-4ea8-b23c-38db8abf4f13,5,,d3023609-97f5-4830-9ecf-bb1d0f120a69,CREATED,98eb493f-02fa-42cd-9f7d-1741c4575aec,,,,
f1a2b3c4-5d6e-7f89-0123-456789abcdef,1,,ff5c1b57-1646-4580-b58d-db3fd36fcb24,CREATED,a1b2c3d4-5e6f-7890-abcd-ef1234567890,,,,
a2b3c4d5-6e7f-8901-2345-6789abcdef01,2,,ac32a636-065a-4bba-9932-7c4aaa769076,CREATED,a1b2c3d4-5e6f-7890-abcd-ef1234567890,,,,
b3c4d5e6-7f89-0123-4567-89abcdef0123,1,,380546ee-cd3b-4ec5-806a-3af899dbbfc3,CREATED,b2c3d4e5-6f78-9012-bcde-f23456789012,,,,
c4d5e6f7-8901-2345-6789-abcdef012345,1,,13650c32-a4e9-40c5-a38e-e30279d65bac,CREATED,c3d4e5f6-7890-1234-cdef-345678901234,,,,
d5e6f718-9012-3456-789a-bcdef0123456,1,,d3023609-97f5-4830-9ecf-bb1d0f120a69,CREATED,d4e5f617-8901-2345-def0-456789012345,,,,
e6f7a819-0123-4567-89ab-cdef01234567,1,,ff5c1b57-1646-4580-b58d-db3fd36fcb24,CREATED,e5f6a718-9012-3456-ef01-567890123456,,,,
